fea1,fea2,fea3,fea4,fea5
134,2,绿,1001,3238.235294
123,2,绿,2802,12617.3913
102,2,绿,-94,300
113,2,绿,-10,692.3076923
124,2,绿,121,920.8333333
103,2,绿,148,8266.666667
117,2,绿,257,2100
126,2,绿,202,1161.538462
109,2,绿,43,1588.888889
103,2,绿,-32.957,2234.766667
124,2,绿,2023,8845.833333
103,2,绿,330,14333.33333
116,2,绿,227,2043.75
107,2,绿,14,1628.571429
106,2,绿,115,3583.333333
146,2,绿,3465.874,7751.9
124,2,绿,19.179,496.5791667
115,2,绿,1171,8473.333333
119,2,绿,384.919,2552.205263
104,2,绿,-3,2425
106,2,绿,472,9533.333333
105,2,绿,471,11420
106,2,绿,395,8250
116,2,绿,64,1025
104,2,绿,133,5825
168,2,绿,408,747.0588235
118,0,绿,230,1833.333333
114,0,绿,649,5350
110,0,绿,-10,900
110,0,绿,917,10170
124,0,绿,130,958.3333333
102,0,绿,-65.914,1704.3
102,0,绿,2816,145800
106,0,绿,86,3100
108,0,绿,887,12337.5
119,0,绿,545.403,3396.857895
115,0,绿,2355,16366.66667
130,0,绿,84,613.3333333
129,0,绿,51,520.6896552
135,0,绿,-25.32,213.3714286
120,0,绿,188,1440
109,0,绿,50,1666.666667
112,0,绿,127,1891.666667
108,0,绿,939,12987.5
114,0,绿,1763,13307.14286
108,0,绿,-37,787.5
105,0,绿,539,12780
111,0,绿,276,3418.181818
110,0,绿,91,1910
114,0,绿,-62,271.4285714
135,0,绿,3751,11002.85714
106,0,绿,246,5766.666667
114,0,绿,747,6050
114,0,绿,119,1564.285714
113,2,绿,242,2630.769231
159,2,绿,1007.83,1877.677966
103,2,绿,-94.191,193.6333333
103,2,绿,-55,1500
101,2,绿,-91,900
116,2,绿,66.049,1037.80625
128,2,绿,157,917.8571429
116,2,绿,539,3993.75
120,2,绿,1085,5925
108,2,绿,33.228,1665.35
121,2,绿,204,1447.619048
135,2,绿,1284,3954.285714
114,2,绿,6642,48157.14286
112,2,绿,240,2833.333333
110,2,绿,-7.15,928.5
153,2,绿,973,2024.528302
117,2,绿,63,958.8235294
124,2,绿,1760.482,7752.008333
126,2,绿,1780.588,7233.030769
123,2,绿,18,513.0434783
108,2,绿,-51,612.5
129,2,绿,1161,4348.275862
130,2,绿,1128,4093.333333
106,2,绿,1560,27666.66667
108,2,绿,55,1937.5
106,2,绿,167,4450
138,2,绿,560,1736.842105
112,2,绿,-76,200
109,2,绿,-24,844.4444444
135,2,绿,222,920
112,2,绿,-54.043,382.975
121,2,绿,314,1971.428571
149,2,绿,1507,3279.591837
144,2,绿,867,2197.727273
105,2,绿,-71.134,577.32
103,2,绿,-61,1300
105,2,绿,283,7660
104,2,绿,8,2700
101,2,绿,-90,1000
111,2,绿,-43,518.1818182
115,2,绿,54.98,1033.2
169,2,绿,172144,249628.9855
110,2,绿,237,3370
107,2,绿,-33,957.1428571
234,2,绿,2697,2087.313433
107,2,绿,-73,385.7142857
116,2,绿,1085,7406.25
120,2,绿,409,2545
115,2,绿,154,1693.333333
101,2,绿,-87,1300
141,2,绿,4382,10931.70732
116,2,绿,675,4843.75
108,2,绿,-28.667,891.6625
138,2,绿,1870,5184.210526
107,2,绿,91,2728.571429
113,2,绿,333,3330.769231
130,2,绿,247,1156.666667
135,2,绿,755,2442.857143
108,2,绿,227.185,4089.8125
132,2,绿,433,1665.625
117,2,绿,284,2258.823529
102,2,绿,43,7150
102,2,绿,-96,200
102,2,绿,-58,2100
108,2,绿,-73.661,329.2375
129,2,绿,124,772.4137931
124,2,绿,835,3895.833333
121,2,绿,4,495.2380952
124,2,绿,598,2908.333333
109,2,绿,264,4044.444444
127,2,绿,102,748.1481481
110,2,绿,901,10010
107,2,绿,-39.167,869.0428571
144,2,绿,3584,8372.727273
115,2,绿,142.931,1619.54
115,2,绿,127,1513.333333
137,2,绿,198,805.4054054
126,2,黄,1915,7750
104,2,黄,95,4875
217,2,黄,8430.016,7290.611966
125,2,黄,2304,9616
123,2,黄,151,1091.304348
153,2,黄,377,900
129,2,黄,496,2055.172414
101,2,黄,-72,2800
119,2,黄,778,4621.052632
111,2,黄,-12.496,795.4909091
147,2,黄,6086.348,13162.44255
114,2,黄,96,1400
105,2,黄,509,12180
117,2,黄,244,2023.529412
122,2,黄,745,3840.909091
108,2,白,408,6350
117,2,白,629,4288.235294
108,2,白,701,10012.5
112,2,白,-32.943,558.8083333
105,2,白,-30,1400
106,2,白,880,16333.33333
106,0,白,370,7833.333333
103,0,白,-46,1800
102,0,白,-82,900
112,0,白,958.577,8821.475
109,0,白,455,6166.666667
101,0,白,-90,1000
112,0,白,263,3025
104,0,红,16,2900
103,0,红,-71.888,937.0666667
142,0,红,340,1047.619048
110,0,红,226.542,3265.42
103,0,红,-75,833.3333333
105,0,红,-48.697,1026.06
104,0,红,-80,500
115,0,红,84,1226.666667
105,0,蓝,-70,600
104,2,蓝,-80.812,479.7
104,2,蓝,-90,250
119,2,蓝,275,1973.684211
108,2,蓝,105,2562.5
105,2,蓝,1186,25720
106,2,蓝,0.301,1671.683333
142,2,蓝,278,900
104,2,蓝,-61,975
105,2,蓝,159.055,5181.1
105,2,蓝,-31.826,1363.48
139,2,蓝,343.939,1138.305128
107,2,蓝,36,1942.857143
105,2,蓝,-42,1160
122,2,绿,699.89,3635.863636
111,2,黄,1509,14627.27273
165,2,黄,855,1469.230769
