fea1,fea2,fea3,fea4,fea5
15,2,绿,30,2
18,2,绿,1141,63.3888888889
4,2,绿,131,32.75
6,2,绿,2289.684,381.614
3,2,绿,113.934,37.978
3,2,绿,8,2.66666666667
55,2,绿,4086,74.2909090909
18,2,绿,329,18.2777777778
22,2,绿,437,19.8636363636
17,2,绿,37,2.17647058824
13,2,绿,1433,110.230769231
39,2,绿,677,17.358974359
5,2,绿,27,5.4
12,2,绿,39,3.25
12,2,绿,307,25.5833333333
12,2,绿,1112.018,92.6681666667
6,2,绿,440,73.3333333333
19,2,绿,272,14.3157894737
10,2,绿,800.384,80.0384
2,2,绿,20,10
14,2,绿,727,51.9285714286
5,2,绿,571,114.2
19,2,绿,175,9.21052631579
3,2,绿,9,3
19,2,绿,65,3.42105263158
3,2,绿,30,10
28,2,绿,419,14.9642857143
8,2,绿,27,3.375
30,2,绿,1787,59.5666666667
19,2,绿,180,9.47368421053
21,2,绿,684,32.5714285714
6,2,绿,772,128.666666667
14,2,绿,312,22.2857142857
25,2,绿,261,10.44
1,2,绿,2,2
2,2,绿,4,2
4,2,绿,550,137.5
27,2,绿,964,35.7037037037
20,2,绿,99.753,4.98765
6,2,绿,33,5.5
45,2,绿,16404,364.533333333
8,2,绿,189,23.625
2,2,绿,54,27
11,2,绿,62,5.63636363636
4,2,绿,74,18.5
17,2,绿,1123,66.0588235294
10,2,绿,237,23.7
6,2,绿,86,14.3333333333
10,2,绿,419,41.9
3,2,绿,84,28
22,2,绿,529,24.0454545455
40,2,绿,269.857,6.746425
17,2,绿,641,37.7058823529
8,2,绿,197,24.625
17,2,绿,411,24.1764705882
45,2,绿,4758,105.733333333
4,2,绿,1782,445.5
23,2,绿,1003.498,43.6303478261
6,2,绿,325,54.1666666667
3,2,绿,88,29.3333333333
1,2,绿,40,40
25,2,绿,2318.142,92.72568
43,2,绿,770,17.9069767442
4,2,绿,41,10.25
61,2,绿,937.292,15.365442623
17,2,绿,306,18
44,2,绿,2146,48.7727272727
17,2,绿,723,42.5294117647
3,2,绿,45,15
6,2,绿,138.339,23.0565
5,2,绿,480,96
41,2,绿,508,12.3902439024
7,2,绿,6024,860.571428571
14,2,绿,921,65.7857142857
9,2,绿,439,48.7777777778
4,0,绿,20.568,5.142
4,0,绿,64,16
13,0,绿,37,2.84615384615
5,0,绿,74,14.8
8,0,绿,12.439,1.554875
19,0,绿,1054,55.4736842105
17,0,绿,339,19.9411764706
5,0,绿,639,127.8
25,0,绿,830,33.2
38,0,绿,3873,101.921052632
